scenario,gauge,planningUnit,ewrCode,multigauge,eventYears,frequency,targetFrequency,achievementCount,achievementPerYear,eventCount,eventCountAll,eventsPerYear,eventsPerYearAll,averageEventLength,thresholdDays,maxInterEventYears,noDataDays,totalDays
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,LF1_S,,2,33,75,2,0.3333333333333333,2,3,0.3333333333333333,0.5,55.666666666666664,167,2,0,1825
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,LF2,,1,17,40,1,0.16666666666666666,1,2,0.16666666666666666,0.3333333333333333,37.5,75,4,0,1825
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB1_P,,2,33,75,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,55.0,110,2,0,1825
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB1_S,,2,33,75,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,78.0,156,2,0,1825
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB2,,1,17,55,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,66.0,66,3,0,1825
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB3_P,,1,17,40,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,77.0,77,4,0,1825
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB3_S,,1,17,40,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,77.0,77,4,0,1825
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB4_P,,1,17,25,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,51.0,51,5,0,1825
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB4_S,,1,17,25,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,51.0,51,5,0,1825
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB5,,1,17,10,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,9.0,9,10,0,1825
