scenarioPath,scenario,gauge,planningUnit,ewrCode,multigauge,eventYears,frequency,targetFrequency,achievementCount,achievementPerYear,eventCount,eventCountAll,eventsPerYear,eventsPerYearAll,averageEventLength,thresholdDays,maxInterEventYears,noDataDays,totalDays
hydrographs\down4\down4,down4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),OB4_S,,0,0,25,0,0.0,0,0,0.0,0.0,0.0,0,5,0,1825
hydrographs\down4\down4,down4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),OB5,,0,0,10,0,0.0,0,0,0.0,0.0,0.0,0,10,0,1825
hydrographs\down4\down4,down4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),SF1_P,,1,17,100,1,0.16666666666666666,1,2,0.16666666666666666,0.3333333333333333,55.5,111,1,0,1825
hydrographs\down4\down4,down4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),SF1_S,,2,33,100,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,97.5,195,1,0,1825
hydrographs\down4\down4,down4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),SF2,,1,17,75,1,0.16666666666666666,1,2,0.16666666666666666,0.3333333333333333,55.5,111,2,0,1825
hydrographs\down4\down4,down4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),VF_a,,1,17,50,1,0.16666666666666666,1,34,0.16666666666666666,5.666666666666667,44.35294117647059,1508,1,0,1825
hydrographs\down4\down4,down4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),VF_b,,4,67,100,4,0.6666666666666666,4,34,0.6666666666666666,5.666666666666667,44.35294117647059,1508,1,0,1825
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,BF1_a,,0,0,50,0,0.0,0,44,0.0,7.333333333333333,18.477272727272727,813,1,0,1825
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,BF1_b,,3,50,100,3,0.5,3,44,0.5,7.333333333333333,18.477272727272727,813,1,0,1825
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,BF2_a,,2,33,50,2,0.3333333333333333,2,34,0.3333333333333333,5.666666666666667,19.205882352941178,653,2,0,1825
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,BF2_b,,4,67,100,4,0.6666666666666666,4,34,0.6666666666666666,5.666666666666667,19.205882352941178,653,2,0,1825
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,BK1_P,,1,17,70,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,40.0,40,0,0,1825
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,BK1_S,,1,17,70,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,40.0,40,0,0,1825
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,CF1_b,,0,0,5,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1825
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,CF1_c,,0,0,4,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1825
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,LF1_P,,1,17,75,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,11.0,11,2,0,1825
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,LF1_S,,1,17,75,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,71.0,71,2,0,1825
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,LF2,,1,17,40,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,60.0,60,4,0,1825
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB1_P,,1,17,75,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,40.0,40,2,0,1825
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB1_S,,1,17,75,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,40.0,40,2,0,1825
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB2,,0,0,55,0,0.0,0,1,0.0,0.16666666666666666,4.0,4,3,0,1825
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB3_P,,0,0,40,0,0.0,0,0,0.0,0.0,0.0,0,4,0,1825
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB3_S,,0,0,40,0,0.0,0,0,0.0,0.0,0.0,0,4,0,1825
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB4_P,,0,0,25,0,0.0,0,0,0.0,0.0,0.0,0,5,0,1825
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB4_S,,0,0,25,0,0.0,0,0,0.0,0.0,0.0,0,5,0,1825
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB5,,0,0,10,0,0.0,0,0,0.0,0.0,0.0,0,10,0,1825
hydrographs\down4\down4,down4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,SF1_P,,1,17,100,1,0.16666666666666666,1,6,0.16666666666666666,1.0,17.333333333333332,104,1,0,1825
