scenarioPath,scenario,gauge,pu,ewr,waterYear,startDate,endDate,eventDuration,eventLength,multigauge
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2015,2016-03-12,2016-03-25,14,14,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2015,2016-04-18,2016-04-20,3,3,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2015,2016-04-22,2016-06-30,70,70,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2016,2016-07-01,2017-02-22,237,237,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2016,2017-02-24,2017-02-26,3,3,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2016,2017-03-02,2017-03-02,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2016,2017-03-04,2017-03-07,4,4,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2016,2017-03-10,2017-03-12,3,3,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2016,2017-03-14,2017-05-17,65,65,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2017,2017-07-15,2017-11-11,120,120,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2017,2017-11-18,2017-12-22,35,35,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2017,2017-12-24,2018-03-01,68,68,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2017,2018-03-08,2018-03-12,5,5,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2017,2018-04-19,2018-04-30,12,12,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2017,2018-05-05,2018-05-06,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2017,2018-05-11,2018-05-21,11,11,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2017,2018-05-25,2018-05-25,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2017,2018-05-27,2018-06-14,19,19,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2018,2018-07-21,2019-01-29,193,193,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2018,2019-02-02,2019-02-15,14,14,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2018,2019-02-21,2019-02-26,6,6,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2018,2019-03-01,2019-03-04,4,4,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2018,2019-03-07,2019-03-08,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2018,2019-03-29,2019-03-30,2,2,
