,NodeType,Env_obj,Env_obj_main,Target,Env_obj_number,Objective,Target.species,PU,link
67,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Upper.Murray..Murray.source.to.Hume.dam..30,1
68,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Upper.Murray..Murray.source.to.Hume.dam..31,1
69,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Mid.Murray.and.Edward.Wakool.32,1
70,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Mid.Murray.and.Edward.Wakool.33,1
71,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Mid.Murray.and.Edward.Wakool.34,1
72,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Mid.Murray.and.Edward.Wakool.35,1
73,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Mid.Murray.and.Edward.Wakool.36,1
74,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Lower.Murray.Darling.37,1
1916,Environmental objective,OS2,OS,Other species,2,Maintain successful26 breeding opportunities for flow-dependent frog species,All flow-dependent frog species,Mid.Murray.1,1
76,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Mid.Murray.2,1
77,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Mid.Murray.3,1
189,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,bony herring,Mid.Murray.4,1
79,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Edward.Wakool.5,1
80,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Edward.Wakool.6,0
81,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Edward.Wakool.7,1
82,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Lower.Murray.8,1
83,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Lower.Murray.9,1
84,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Lower.Murray.10,1
85,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Lower.Murray.11,1
86,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Lower.Murray.12,1
87,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Lower.Murray.13,1
88,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Menindee.Lakes.14,1
89,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Menindee.Lakes.15,1
90,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Lower.Darling.River...Darling.Anabranch.16,1
91,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Lower.Darling.River...Darling.Anabranch.17,1
92,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Lower.Darling.River...Darling.Anabranch.18,1
93,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Lower.Darling.River...Darling.Anabranch.19,1
94,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Upper.Murray..Murray.source.to.Hume.dam..20,1
95,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Upper.Murray..Murray.source.to.Hume.dam..21,1
96,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),Upper.Murray..Murray.source.to.Hume.dam..22,0
